"rv.BFX","rv.BSESN","rv.BVLG","rv.FCHI","rv.FTMIB","rv.NSEI","rv.OMXC20","rv.OMXHPI","rv.OMXSPI","rv.OSEAX","rv.SMSI"
5.7e-05,6.45e-05,1.28e-05,7.14e-05,6.85e-05,5.68e-05,4.7e-05,4.13e-05,5.58e-05,5.23e-05,4.88e-05
1.97e-05,7.33e-05,2.02e-05,1.96e-05,1.46e-05,7.5e-05,0.000111841,1.51e-05,1.39e-05,6.93e-05,1.67e-05
4.56e-05,5.18e-05,3.26e-05,3e-05,2.35e-05,5.68e-05,5.88e-05,0.000115453,6.58e-05,0.000393476,3.73e-05
3.38e-05,2.66e-05,1.87e-05,2.46e-05,2.17e-05,2.84e-05,7.01e-05,3.13e-05,2.12e-05,0.000129684,3.66e-05
2.54e-05,5.85e-05,1.7e-05,1.42e-05,1.29e-05,5.29e-05,4.17e-05,1.63e-05,1.42e-05,4.42e-05,1.45e-05
4.77e-05,5.85e-05,2.58e-05,3.99e-05,5.77e-05,5.29e-05,0.000181337,3.68e-05,3.54e-05,2.44e-05,5.79e-05
3.75e-05,1.96e-05,2.29e-05,1.39e-05,3.07e-05,1.91e-05,7.94e-05,4.33e-05,1.77e-05,4.5e-05,4.66e-05
0.00019215,3.2e-05,6.04e-05,0.000147493,0.000130228,3.14e-05,0.000125006,5.75e-05,3.04e-05,5.71e-05,0.00015762
2.08e-05,4.37e-05,1.72e-05,2.09e-05,1.65e-05,4.53e-05,4.82e-05,1.37e-05,9.02e-06,2.56e-05,2.88e-05
3.35e-05,3.74e-05,1.55e-05,3.11e-05,3.6e-05,3.71e-05,0.000103128,2.79e-05,1.98e-05,0.000164646,3.64e-05
3.02e-05,5.18e-05,2.19e-05,2.35e-05,2.6e-05,4.46e-05,6.4e-05,4.67e-05,2.6e-05,7.98e-05,2.05e-05
1.82e-05,5.39e-05,2.17e-05,1.86e-05,2.12e-05,5.15e-05,3.61e-05,4.24e-05,1.56e-05,5.12e-05,2.85e-05
1.8e-05,4.54e-05,3.09e-05,1.78e-05,1.72e-05,4.84e-05,5.13e-05,5.46e-05,1.54e-05,3.47e-05,2.95e-05
3.14e-05,0.000477355,2.01e-05,3.59e-05,2.76e-05,0.000488752,9.14e-05,3e-05,2.16e-05,2.3e-05,3.09e-05
3.19e-05,0.000159423,1.92e-05,2.9e-05,1.42e-05,0.000137896,8.95e-05,3.61e-05,4.02e-05,2.55e-05,3.56e-05
6.46e-05,8.35e-05,1.52e-05,1.39e-05,1.67e-05,7.96e-05,3.38e-05,3.43e-05,1.66e-05,1.97e-05,3.05e-05
6.7e-05,7.92e-05,4.15e-05,4.38e-05,4.18e-05,6.33e-05,4.69e-05,3.65e-05,4.17e-05,8.43e-05,5.28e-05
3.91e-05,6.9e-05,1.73e-05,3.14e-05,2.62e-05,6.12e-05,2.64e-05,3.32e-05,3.29e-05,4.93e-05,2.91e-05
1.88e-05,5.78e-05,2.39e-05,2.1e-05,1.86e-05,4.72e-05,2.96e-05,1.91e-05,1.33e-05,8.56e-05,2.45e-05
2.82e-05,7.66e-05,2.75e-05,2.45e-05,1.69e-05,5.77e-05,3.35e-05,2.25e-05,1.25e-05,2.07e-05,2.83e-05
0.000111073,0.000175054,2.25e-05,5.51e-05,7.51e-05,0.000161994,7.64e-05,5.22e-05,5.66e-05,3.78e-05,5.74e-05
6.93e-05,0.000175054,3.01e-05,7.66e-05,6.45e-05,0.000161994,5.11e-05,6.15e-05,4.91e-05,0.00010837,8.22e-05
0.000134197,7.84e-05,6.74e-05,0.000187897,0.000146818,8.57e-05,0.000113947,0.000124725,0.000138329,0.000184832,0.000120003
6.27e-05,7.51e-05,3.83e-05,6.4e-05,7.26e-05,7.57e-05,9.92e-05,4.33e-05,6.93e-05,0.000125377,8.76e-05
4.92e-05,0.000107217,2.6e-05,2.5e-05,3.57e-05,9.14e-05,6.43e-05,3.83e-05,2.83e-05,5.46e-05,4.64e-05
7.14e-05,0.000107217,2.79e-05,7.27e-05,5.48e-05,9.14e-05,6.2e-05,7.08e-05,4.98e-05,3.69e-05,6.58e-05
7.09e-05,5.62e-05,2.48e-05,6.66e-05,6.36e-05,5.57e-05,5.45e-05,5.39e-05,5.71e-05,5.93e-05,5.91e-05
6.41e-05,5.26e-05,2.76e-05,9.33e-05,5.43e-05,4.81e-05,0.000109168,3.84e-05,7e-05,4.85e-05,5.83e-05
3.5e-05,0.000157094,2.74e-05,4.47e-05,2.81e-05,0.000149058,4.22e-05,2.96e-05,2.7e-05,8.4e-05,4e-05
5.85e-05,6.25e-05,2.43e-05,5.12e-05,2.77e-05,5.87e-05,6.43e-05,5.64e-05,3.87e-05,5.3e-05,3.42e-05
0.000104091,2.56e-05,1.61e-05,4.95e-05,3.45e-05,2.69e-05,7.44e-05,2.61e-05,4.24e-05,3.89e-05,5.71e-05
5.75e-05,3.25e-05,2.78e-05,4.95e-05,3.92e-05,2.9e-05,4.61e-05,3.86e-05,4.1e-05,4.64e-05,9.73e-05
7.51e-05,3.27e-05,2.68e-05,7.45e-05,6.4e-05,2.78e-05,8.26e-05,6.54e-05,2.58e-05,5.47e-05,7.22e-05
4.43e-05,5.21e-05,1.75e-05,5.15e-05,3.37e-05,4.12e-05,4.74e-05,2.73e-05,2.87e-05,3.32e-05,5.13e-05
4.39e-05,5.21e-05,1.62e-05,3.04e-05,1.7e-05,4.12e-05,6.58e-05,1.71e-05,3.72e-05,3.04e-05,2.45e-05
3.29e-05,6.23e-05,1.62e-05,2.71e-05,1.8e-05,5.65e-05,4.14e-05,2.56e-05,3.2e-05,2.57e-05,2.95e-05
6.6e-05,4.89e-05,2.69e-05,7.34e-05,2.72e-05,4.47e-05,7e-05,6.58e-05,4.35e-05,3.08e-05,4.32e-05
4.34e-05,6.29e-05,3.55e-05,3.04e-05,2.67e-05,5.51e-05,4.52e-05,0.000473225,3.46e-05,0.000159659,4.27e-05
0.000239883,8.11e-05,1.99e-05,3.27e-05,1.63e-05,7.73e-05,4.61e-05,5.07e-05,2.5e-05,2.37e-05,2.21e-05
0.000239883,8.11e-05,1.99e-05,3.27e-05,1.63e-05,1.07e-05,4.61e-05,5.07e-05,2.5e-05,2.37e-05,2.21e-05
1.96e-05,8.11e-05,1.79e-05,1.35e-05,1.05e-05,1.07e-05,4.52e-05,1.85e-05,1.06e-05,5.54e-05,1.76e-05
2.39e-05,2.97e-05,1.63e-05,1.81e-05,1.28e-05,3.15e-05,4.89e-05,0.000149829,4.95e-05,5.6e-05,2.22e-05
