"rv.BFX","rv.BSESN","rv.BVLG","rv.FCHI","rv.FTMIB","rv.NSEI","rv.OMXC20","rv.OMXHPI","rv.OMXSPI","rv.OSEAX","rv.SMSI"
0.00261722,0.001125418,0.001575305,0.003206519,0.001901613,0,0.00250042,0.001476462,0.001817899,0.002926032,0.002112385
0.003688781,0.001261487,0.001214658,0.004361569,0.001857615,0.001372698,0.002092897,0.001539007,0.002054524,0.002125181,0.001931117
0.001057194,0.001126245,0.000990003,0.001549494,0.001048037,0.001083526,0.000734813,0.000761671,0.000758209,0.001219852,0.002124908
0.001191649,0.003262762,0.000512396,0.001559588,0.001027758,0.00312143,0.000481577,0.000651364,0.000820746,0.001579844,0.000634456
0.001080075,0.002305068,0.000711868,0.001427981,0.000645701,0.002283321,0.000475525,0.000751606,0.000430379,0.003580009,0.000837311
0.001305987,0.00263266,0.000711868,0.003454946,0.001242823,0.002050886,0.000750973,0.000825102,0.000747789,0.002470683,0.001045822
0.000598537,0.002206523,0.000526617,0.000645887,0.00059339,0.002235807,0.000407884,0.000330483,0.000320083,0.002053906,0.000626625
0.002421335,0.001639515,0.001123694,0.001446552,0.001589029,0.001529879,0.000494432,0.001024478,0.000926625,0.001441175,0.001253586
0.000994565,0.001469819,0.000431819,0.001090697,0.000594904,0.00147864,0.000272872,0.000452671,0.000554343,0.000670996,0.000540364
0.000470453,0.001821357,0.00023466,0.000477718,0.000396892,0.001708838,0.000248936,0.000303368,0.000294767,0.000308928,0.000471155
0.000688894,0.000542358,0.000315149,0.000630786,0.000416896,0,0.000439966,0.000357956,0.000391818,0.000609009,0.000726926
0.00044284,0.000469503,0.000283071,0.00052209,0.00036817,0.000406094,0.000278556,0.000325528,0.000297579,0.000807804,0.000309565
0.000405249,0.00030528,0.000206382,0.000428285,0.000303089,0.000307086,0.00023741,0.000243555,0.000214571,0.000829674,0.000323699
0.000570199,0.00030528,0.000313617,0.000534281,0.000406421,0.000307086,0.000241483,0.000342033,0.000315132,0.000705555,0.000409422
0.000257281,0.000816033,9.09e-05,0.00022688,0.000184447,0.000811012,0.00013936,0.000153782,0.000188882,0.000523678,0.000155679
0.000225131,0.000816033,9.47e-05,0.000180042,0.000121447,0.000811012,0.000165465,0.000142015,0.000126316,0.000523678,0.000142847
0.000300086,0.000320626,0.000201881,0.00061995,0.000398615,0.000302737,0.000218473,0.000239432,0.000240579,0.000583561,0.000346024
0.000212797,0.001053456,9.12e-05,0.000338142,0.0001506,0.001021235,8.82e-05,0.000127205,0.00010875,0.000190863,0.000165232
0.000533737,0.000404546,0.000235436,0.0006472,0.000419147,0.000358128,8.82e-05,0.000181715,6.86e-05,0.000190863,0.000346002
0.000533737,0.000404546,0.000235436,0.0006472,0.000419147,0.000358128,8.82e-05,0.000181715,6.86e-05,0.000190863,0.000346002
0.000533737,0.000328754,0.000235436,0.0006472,0.000419147,0,8.82e-05,0.000181715,6.86e-05,0.000190863,0.000346002
0.000289867,0.000328754,0.000128467,0.000200993,0.000419147,0,0.000177579,7.61e-05,8.59e-05,0.000289072,0.000172677
