rv.AEX,rv.AORD,rv.BFX,rv.BSESN,rv.BVLG,rv.BVSP,rv.DJI,rv.FCHI,rv.FTMIB,rv.FTSE,rv.GDAXI,rv.GSPTSE,rv.HSI,rv.IBEX,rv.IXIC,rv.KS11,rv.KSE,rv.MXX,rv.N225,rv.NSEI,rv.OMXC20,rv.OMXHPI,rv.OMXSPI,rv.OSEAX,rv.RUT,rv.SMSI,rv.SPX,rv.SSEC,rv.SSMI,rv.STI,rv.STOXX50E,V1,V2,V3,
4.35E-05,1.02E-05,5.78E-05,1.68E-05,1.51E-05,2.68E-05,1.89E-05,8.00E-05,3.86E-05,3.40E-05,4.55E-05,6.23E-06,2.00E-05,2.61E-05,2.61E-05,3.70E-05,5.70E-05,8.10E-05,3.39E-05,1.65E-05,4.74E-05,9.79E-05,4.36E-05,7.86E-05,1.89E-05,4.40E-05,2.57E-05,2.19E-05,3.67E-05,1.55E-05,9.03E-05,6.56E-09,1.77E-09,4.80E-10,
7.56E-05,1.31E-05,7.13E-05,4.26E-05,1.88E-05,2.53E-05,2.31E-05,5.14E-05,6.88E-05,5.82E-05,3.42E-05,1.12E-05,2.04E-05,7.90E-05,3.50E-05,2.96E-05,0.000144977,3.00E-05,2.38E-05,4.26E-05,6.32E-05,3.91E-05,2.76E-05,2.25E-05,3.11E-05,4.31E-05,3.67E-05,3.73E-05,2.60E-05,1.09E-05,6.53E-05,9.00E-10,1.12E-09,1.39E-09,
2.09E-05,7.76E-06,3.80E-05,6.16E-05,1.43E-05,4.67E-05,2.01E-05,2.46E-05,4.36E-05,2.61E-05,2.74E-05,5.65E-06,2.87E-05,1.41E-05,2.12E-05,2.61E-05,5.83E-05,4.83E-05,2.76E-05,5.77E-05,3.74E-05,2.13E-05,2.91E-05,1.01E-05,2.23E-05,3.50E-05,8.01E-06,0.000112784,2.97E-05,1.39E-05,2.72E-05,2.33E-09,5.45E-09,1.27E-08,
2.35E-05,1.14E-05,3.48E-05,5.00E-05,1.20E-05,2.72E-05,1.81E-05,4.07E-05,2.83E-05,5.48E-05,2.85E-05,7.42E-06,1.75E-05,3.27E-05,2.13E-05,2.50E-05,4.73E-05,6.22E-05,3.08E-05,4.56E-05,3.13E-05,3.74E-05,3.18E-05,4.99E-05,1.67E-05,3.41E-05,1.21E-05,2.50E-05,2.85E-05,1.69E-05,5.32E-05,3.87E-09,1.56E-09,6.25E-10,
2.15E-05,1.48E-05,4.04E-05,5.12E-05,2.29E-05,1.46E-05,1.26E-05,1.96E-05,1.95E-05,2.70E-05,2.23E-05,6.56E-06,3.13E-05,2.15E-05,1.57E-05,3.36E-05,3.41E-05,3.61E-05,1.39E-05,5.24E-05,0.000126506,3.10E-05,2.27E-05,2.02E-05,2.69E-05,3.19E-05,2.07E-05,3.57E-05,2.45E-05,1.51E-05,1.69E-05,1.30E-09,1.29E-09,1.27E-09,
0.000106759,9.32E-06,0.000228315,5.47E-05,6.76E-05,6.75E-05,2.44E-05,0.000167831,0.000205072,4.21E-05,0.00010821,1.40E-05,1.15E-05,0.000201843,3.51E-05,5.13E-05,4.01E-05,5.52E-05,2.67E-05,5.81E-05,7.39E-05,0.000129325,4.90E-05,5.85E-05,3.21E-05,0.000168546,1.45E-05,1.69E-05,8.19E-05,1.31E-05,0.000153081,3.05E-09,9.33E-10,2.86E-10,
2.56E-05,1.20E-05,2.41E-05,4.84E-05,1.54E-05,4.06E-05,6.87E-06,2.88E-05,2.52E-05,1.72E-05,2.16E-05,5.31E-06,1.31E-05,3.07E-05,1.47E-05,3.34E-05,1.93E-05,6.58E-05,2.11E-05,4.98E-05,3.07E-05,3.86E-05,1.72E-05,1.97E-05,1.14E-05,3.68E-05,9.36E-06,1.69E-05,3.50E-05,1.53E-05,2.19E-05,4.33E-09,1.11E-09,2.86E-10,
3.23E-05,1.14E-05,2.61E-05,6.63E-05,1.18E-05,3.76E-05,8.97E-06,3.25E-05,2.35E-05,3.36E-05,2.17E-05,6.39E-06,5.45E-05,1.68E-05,2.17E-05,7.74E-05,5.47E-05,4.33E-05,2.30E-05,5.70E-05,3.41E-05,1.24E-05,1.95E-05,1.97E-05,2.10E-05,3.07E-05,5.06E-06,1.44E-05,2.20E-05,1.76E-05,1.79E-05,1.87E-09,6.24E-10,2.07E-10,
3.59E-05,2.16E-05,5.51E-05,5.79E-05,2.05E-05,3.28E-05,1.93E-05,4.89E-05,4.30E-05,4.58E-05,7.67E-05,8.67E-06,2.48E-05,0.00029397,2.13E-05,2.27E-05,8.71E-05,7.49E-05,2.50E-05,5.92E-05,6.55E-05,2.17E-05,3.57E-05,3.38E-05,2.11E-05,5.51E-05,1.05E-05,1.95E-05,3.84E-05,2.28E-05,4.74E-05,5.61E-09,1.46E-09,3.80E-10,
2.78E-05,9.26E-06,5.03E-05,5.79E-05,2.25E-05,0.000104851,5.74E-05,2.66E-05,5.07E-05,2.22E-05,2.93E-05,3.22E-05,3.56E-05,1.38E-05,0.000133944,8.50E-05,6.33E-05,0.00011974,2.12E-05,5.83E-05,8.02E-05,2.20E-05,1.99E-05,7.66E-05,0.000160719,3.30E-05,0.000142186,1.99E-05,3.23E-05,3.50E-05,2.37E-05,1.43E-08,2.38E-09,3.96E-10,
