rv.AEX,rv.AORD,rv.BFX,rv.BSESN,rv.BVLG,rv.BVSP,rv.DJI,rv.FCHI,rv.FTMIB,rv.FTSE,rv.GDAXI,rv.GSPTSE,rv.HSI,rv.IBEX,rv.IXIC,rv.KS11,rv.KSE,rv.MXX,rv.N225,rv.NSEI,rv.OMXC20,rv.OMXHPI,rv.OMXSPI,rv.OSEAX,rv.RUT,rv.SMSI,rv.SPX,rv.SSEC,rv.SSMI,rv.STI,rv.STOXX50E,V1,V2,V3,
2.91E-05,3.08E-05,4.56E-05,5.18E-05,3.26E-05,4.37E-05,2.48E-05,3.00E-05,2.35E-05,3.57E-05,2.93E-05,1.19E-05,5.68E-05,3.43E-05,2.40E-05,2.68E-05,0.000199715,3.45E-05,4.35E-05,5.68E-05,5.88E-05,0.000115453,6.58E-05,0.000393476,5.85E-05,3.73E-05,2.60E-05,5.32E-05,2.61E-05,2.86E-05,6.97E-05,1.19E-09,1.84E-09,2.83E-09,
2.48E-05,1.57E-05,3.38E-05,2.66E-05,1.87E-05,3.71E-05,1.75E-05,2.46E-05,2.17E-05,3.12E-05,2.58E-05,7.16E-06,4.03E-05,2.02E-05,2.23E-05,1.95E-05,8.23E-05,7.16E-05,2.03E-05,2.84E-05,7.01E-05,3.13E-05,2.12E-05,0.000129684,2.08E-05,3.66E-05,6.37E-06,2.64E-05,1.72E-05,1.28E-05,2.28E-05,5.13E-09,1.89E-09,6.97E-10,
1.05E-05,8.04E-06,2.54E-05,5.85E-05,1.70E-05,6.41E-05,1.38E-05,1.42E-05,1.29E-05,5.34E-05,1.43E-05,7.59E-06,3.30E-05,6.66E-06,2.89E-05,1.95E-05,8.23E-05,7.89E-05,2.71E-05,5.29E-05,4.17E-05,1.63E-05,1.42E-05,4.42E-05,4.15E-05,1.45E-05,1.63E-05,3.84E-05,1.29E-05,1.27E-05,1.16E-05,6.23E-09,3.03E-09,1.47E-09,
2.89E-05,1.10E-05,4.77E-05,5.85E-05,2.58E-05,8.23E-05,3.46E-05,3.99E-05,5.77E-05,5.43E-05,3.38E-05,1.07E-05,3.52E-05,8.74E-05,5.96E-05,2.16E-05,8.23E-05,4.52E-05,1.44E-05,5.29E-05,0.000181337,3.68E-05,3.54E-05,2.44E-05,5.16E-05,5.79E-05,2.05E-05,3.40E-05,5.04E-05,2.88E-05,3.44E-05,2.04E-09,1.54E-09,1.16E-09,
1.64E-05,1.16E-05,3.75E-05,1.96E-05,2.29E-05,3.15E-05,1.64E-05,1.39E-05,3.07E-05,4.56E-05,2.46E-05,6.46E-06,7.83E-05,3.92E-05,2.18E-05,3.47E-05,0.000126743,3.80E-05,2.56E-05,1.91E-05,7.94E-05,4.33E-05,1.77E-05,4.50E-05,5.85E-05,4.66E-05,2.65E-05,3.62E-05,2.07E-05,1.78E-05,2.07E-05,1.44E-09,1.38E-09,1.31E-09,
0.000103875,2.21E-05,0.00019215,3.20E-05,6.04E-05,7.44E-05,3.69E-05,0.000147493,0.000130228,5.15E-05,0.000105718,1.74E-05,4.15E-05,6.19E-05,5.35E-05,3.47E-05,0.000169097,4.12E-05,2.07E-05,3.14E-05,0.000125006,5.75E-05,3.04E-05,5.71E-05,0.000100497,0.00015762,1.56E-05,2.23E-05,7.41E-05,1.44E-05,0.000153055,1.70E-09,9.19E-10,4.97E-10,
1.88E-05,1.06E-05,2.08E-05,4.37E-05,1.72E-05,2.49E-05,1.33E-05,2.09E-05,1.65E-05,2.55E-05,1.47E-05,8.21E-06,2.43E-05,2.08E-05,2.67E-05,3.47E-05,0.000109945,2.82E-05,2.30E-05,4.53E-05,4.82E-05,1.37E-05,9.02E-06,2.56E-05,4.83E-05,2.88E-05,8.29E-06,2.23E-05,2.28E-05,1.21E-05,2.00E-05,7.95E-10,6.29E-10,4.97E-10,
2.63E-05,2.26E-05,3.35E-05,3.74E-05,1.55E-05,5.83E-05,1.74E-05,3.11E-05,3.60E-05,2.50E-05,2.23E-05,1.39E-05,2.41E-05,1.19E-05,2.52E-05,3.11E-05,4.98E-05,2.82E-05,2.30E-05,3.71E-05,0.000103128,2.79E-05,1.98E-05,0.000164646,4.15E-05,3.64E-05,5.33E-06,2.43E-05,2.84E-05,2.13E-05,1.74E-05,7.95E-10,6.85E-10,5.90E-10,
1.85E-05,1.00E-05,3.02E-05,5.18E-05,2.19E-05,3.27E-05,1.07E-05,2.35E-05,2.60E-05,3.74E-05,3.69E-05,7.46E-06,2.63E-05,2.58E-05,1.00E-05,1.52E-05,6.00E-05,7.04E-05,2.68E-05,4.46E-05,6.40E-05,4.67E-05,2.60E-05,7.98E-05,2.39E-05,2.05E-05,6.24E-06,4.45E-05,2.89E-05,1.30E-05,2.40E-05,4.96E-09,3.13E-09,1.98E-09,
1.52E-05,9.01E-06,1.82E-05,5.39E-05,2.17E-05,4.40E-05,3.39E-05,1.86E-05,2.12E-05,2.81E-05,1.15E-05,1.44E-05,1.69E-05,3.28E-05,4.19E-05,3.16E-05,3.94E-05,4.71E-05,1.37E-05,5.15E-05,3.61E-05,4.24E-05,1.56E-05,5.12E-05,3.39E-05,2.85E-05,3.45E-05,2.61E-05,2.09E-05,1.50E-05,1.31E-05,2.22E-09,1.23E-09,6.81E-10,
1.39E-05,2.69E-05,1.80E-05,4.54E-05,3.09E-05,3.90E-05,2.04E-05,1.78E-05,1.72E-05,3.52E-05,2.84E-05,8.85E-06,5.37E-05,5.36E-05,2.59E-05,3.79E-05,5.56E-05,2.02E-05,8.91E-05,4.84E-05,5.13E-05,5.46E-05,1.54E-05,3.47E-05,2.10E-05,2.95E-05,1.41E-05,2.17E-05,3.04E-05,1.69E-05,1.77E-05,4.08E-10,4.38E-10,4.71E-10,
1.91E-05,3.00E-05,3.14E-05,0.000477355,2.01E-05,8.08E-05,4.91E-05,3.59E-05,2.76E-05,5.47E-05,2.09E-05,1.77E-05,2.42E-05,2.66E-05,8.52E-05,2.04E-05,4.76E-05,6.48E-05,1.79E-05,0.000488752,9.14E-05,3.00E-05,2.16E-05,2.30E-05,6.05E-05,3.09E-05,4.02E-05,1.62E-05,2.46E-05,1.88E-05,3.16E-05,4.20E-09,1.05E-09,2.62E-10,
2.05E-05,1.95E-05,3.19E-05,0.000159423,1.92E-05,2.68E-05,1.29E-05,2.90E-05,1.42E-05,3.73E-05,3.93E-05,1.02E-05,4.13E-05,5.49E-05,2.00E-05,1.63E-05,4.65E-05,1.14E-05,1.79E-05,0.000137896,8.95E-05,3.61E-05,4.02E-05,2.55E-05,2.72E-05,3.56E-05,1.15E-05,5.86E-05,3.05E-05,1.99E-05,9.27E-06,1.30E-10,6.68E-10,3.43E-09,
1.34E-05,6.05E-06,6.46E-05,8.35E-05,1.52E-05,4.59E-05,7.48E-05,1.39E-05,1.67E-05,2.79E-05,1.30E-05,2.13E-05,4.60E-05,1.10E-05,0.000120522,2.77E-05,9.44E-05,3.59E-05,1.79E-05,7.96E-05,3.38E-05,3.43E-05,1.66E-05,1.97E-05,7.58E-05,3.05E-05,0.000102363,3.15E-05,2.05E-05,2.21E-05,1.28E-05,1.29E-09,1.13E-09,9.92E-10,
3.86E-05,3.40E-05,6.70E-05,7.92E-05,4.15E-05,3.85E-05,2.15E-05,4.38E-05,4.18E-05,6.05E-05,3.66E-05,1.23E-05,7.29E-05,6.15E-05,4.82E-05,4.85E-05,6.06E-05,5.20E-05,3.03E-05,6.33E-05,4.69E-05,3.65E-05,4.17E-05,8.43E-05,4.23E-05,5.28E-05,5.58E-05,4.62E-05,4.13E-05,2.07E-05,5.19E-05,2.70E-09,2.40E-09,2.13E-09,
2.79E-05,1.26E-05,3.91E-05,6.90E-05,1.73E-05,4.41E-05,3.33E-05,3.14E-05,2.62E-05,3.62E-05,2.40E-05,8.79E-06,2.60E-05,2.90E-05,5.46E-05,2.65E-05,6.02E-05,4.83E-05,2.22E-05,6.12E-05,2.64E-05,3.32E-05,3.29E-05,4.93E-05,2.89E-05,2.91E-05,2.26E-05,5.90E-05,2.47E-05,1.42E-05,2.58E-05,2.33E-09,2.85E-09,3.48E-09,
2.18E-05,1.93E-05,1.88E-05,5.78E-05,2.39E-05,5.17E-05,6.03E-05,2.10E-05,1.86E-05,7.26E-05,1.64E-05,1.43E-05,3.72E-05,2.71E-05,0.000123117,2.39E-05,2.40E-05,3.07E-05,4.15E-05,4.72E-05,2.96E-05,1.91E-05,1.33E-05,8.56E-05,6.98E-05,2.45E-05,7.15E-05,2.64E-05,1.62E-05,1.82E-05,2.12E-05,9.42E-10,8.10E-10,6.97E-10,
2.61E-05,8.73E-06,2.82E-05,7.66E-05,2.75E-05,2.07E-05,6.03E-05,2.45E-05,1.69E-05,1.63E-05,2.14E-05,1.10E-05,4.20E-05,1.94E-05,2.25E-05,2.98E-05,5.79E-05,3.89E-05,2.88E-05,5.77E-05,3.35E-05,2.25E-05,1.25E-05,2.07E-05,1.84E-05,2.83E-05,1.15E-05,3.43E-05,2.22E-05,3.57E-05,2.36E-05,1.51E-09,1.33E-09,1.18E-09,
9.19E-05,1.35E-05,0.000111073,0.000175054,2.25E-05,4.35E-05,5.69E-05,5.51E-05,7.51E-05,5.46E-05,6.18E-05,2.85E-05,4.20E-05,7.56E-05,6.43E-05,3.27E-05,5.40E-05,2.81E-05,1.21E-05,0.000161994,7.64E-05,5.22E-05,5.66E-05,3.78E-05,7.66E-05,5.74E-05,0.000118839,3.43E-05,5.92E-05,1.73E-05,5.99E-05,7.90E-10,9.64E-10,1.18E-09,
6.19E-05,5.47E-05,6.93E-05,0.000175054,3.01E-05,5.28E-05,6.61E-05,7.66E-05,6.45E-05,9.52E-05,5.61E-05,2.12E-05,3.24E-05,0.000265046,6.21E-05,2.48E-05,3.11E-05,5.83E-05,1.05E-05,0.000161994,5.11E-05,6.15E-05,4.91E-05,0.00010837,6.65E-05,8.22E-05,0.00010659,3.43E-05,6.18E-05,3.33E-05,7.13E-05,3.40E-09,2.00E-09,1.18E-09,
0.000145234,0.000205959,0.000134197,7.84E-05,6.74E-05,0.000193662,0.000134305,0.000187897,0.000146818,0.000116407,5.61E-05,4.66E-05,6.99E-05,6.63E-05,0.000136497,2.48E-05,8.60E-05,2.54E-05,2.67E-05,8.57E-05,0.000113947,0.000124725,0.000138329,0.000184832,0.000141498,0.000120003,0.000132133,3.43E-05,0.000108861,3.07E-05,6.76E-05,6.45E-10,8.71E-10,1.18E-09,
5.21E-05,2.11E-05,6.27E-05,7.51E-05,3.83E-05,5.15E-05,2.58E-05,6.40E-05,7.26E-05,6.51E-05,6.79E-05,1.04E-05,7.27E-05,4.84E-05,2.76E-05,7.81E-05,4.29E-05,4.47E-05,1.72E-05,7.57E-05,9.92E-05,4.33E-05,6.93E-05,0.000125377,2.72E-05,8.76E-05,5.18E-05,3.43E-05,5.31E-05,2.16E-05,6.16E-05,2.00E-09,1.53E-09,1.18E-09,
3.95E-05,1.57E-05,4.92E-05,0.000107217,2.60E-05,7.22E-05,3.75E-05,2.50E-05,3.57E-05,4.44E-05,4.27E-05,1.04E-05,7.27E-05,6.00E-05,4.68E-05,3.71E-05,0.000100407,1.78E-05,1.63E-05,9.14E-05,6.43E-05,3.83E-05,2.83E-05,5.46E-05,4.30E-05,4.64E-05,2.40E-05,3.43E-05,3.15E-05,1.53E-05,4.44E-05,3.17E-10,6.11E-10,1.18E-09,
6.33E-05,1.32E-05,7.14E-05,0.000107217,2.79E-05,0.000114566,5.88E-05,7.27E-05,5.48E-05,5.72E-05,5.51E-05,2.19E-05,5.49E-05,0.000130155,7.99E-05,3.54E-05,0.000124603,3.08E-05,1.85E-05,9.14E-05,6.20E-05,7.08E-05,4.98E-05,3.69E-05,6.80E-05,6.58E-05,4.59E-05,3.01E-05,5.59E-05,2.41E-05,6.92E-05,9.49E-10,9.27E-10,9.06E-10,
6.04E-05,4.96E-05,7.09E-05,5.62E-05,2.48E-05,3.74E-05,3.40E-05,6.66E-05,6.36E-05,5.46E-05,9.54E-05,1.40E-05,4.07E-05,4.59E-05,3.77E-05,3.54E-05,6.47E-05,2.07E-05,1.51E-05,5.57E-05,5.45E-05,5.39E-05,5.71E-05,5.93E-05,2.35E-05,5.91E-05,2.03E-05,3.34E-05,4.00E-05,1.31E-05,8.32E-05,4.28E-10,6.91E-10,1.12E-09,
8.36E-05,2.88E-05,6.41E-05,5.26E-05,2.76E-05,4.75E-05,5.60E-05,9.33E-05,5.43E-05,5.95E-05,7.53E-05,2.02E-05,5.33E-05,8.88E-05,5.12E-05,0.000102133,6.58E-05,6.80E-05,6.76E-05,4.81E-05,0.000109168,3.84E-05,7.00E-05,4.85E-05,3.66E-05,5.83E-05,4.12E-05,2.46E-05,6.38E-05,3.15E-05,6.34E-05,4.62E-09,1.67E-09,6.05E-10,
3.06E-05,5.41E-05,3.50E-05,0.000157094,2.74E-05,4.78E-05,6.32E-05,4.47E-05,2.81E-05,9.18E-05,5.59E-05,1.61E-05,4.42E-05,0.000121997,4.35E-05,2.12E-05,4.07E-05,6.35E-05,2.66E-05,0.000149058,4.22E-05,2.96E-05,2.70E-05,8.40E-05,6.29E-05,4.00E-05,3.71E-05,4.19E-05,3.38E-05,1.32E-05,4.98E-05,4.03E-09,2.66E-09,1.76E-09,
3.71E-05,4.42E-05,5.85E-05,6.25E-05,2.43E-05,1.86E-05,1.58E-05,5.12E-05,2.77E-05,4.17E-05,4.39E-05,1.61E-05,3.90E-05,1.16E-05,1.82E-05,3.43E-05,7.83E-05,3.54E-05,2.66E-05,5.87E-05,6.43E-05,5.64E-05,3.87E-05,5.30E-05,1.35E-05,3.42E-05,4.01E-06,4.56E-05,3.51E-05,1.27E-05,5.88E-05,1.25E-09,1.61E-09,2.08E-09,
3.19E-05,9.81E-06,0.000104091,2.56E-05,1.61E-05,2.42E-05,3.14E-05,4.95E-05,3.45E-05,5.69E-05,4.63E-05,7.02E-06,2.69E-05,3.51E-05,1.72E-05,3.68E-05,4.87E-05,1.81E-05,1.61E-05,2.69E-05,7.44E-05,2.61E-05,4.24E-05,3.89E-05,1.68E-05,5.71E-05,3.56E-05,2.49E-05,2.96E-05,1.00E-05,8.37E-05,3.28E-10,4.51E-10,6.20E-10,
5.33E-05,3.84E-05,5.75E-05,3.25E-05,2.78E-05,4.32E-05,1.30E-05,4.95E-05,3.92E-05,6.21E-05,4.80E-05,5.00E-06,6.50E-05,5.04E-05,1.38E-05,3.58E-05,5.40E-05,2.58E-05,5.30E-05,2.90E-05,4.61E-05,3.86E-05,4.10E-05,4.64E-05,1.27E-05,9.73E-05,6.14E-06,4.34E-05,3.05E-05,2.48E-05,4.90E-05,6.66E-10,1.12E-09,1.88E-09,
4.23E-05,1.34E-05,7.51E-05,3.27E-05,2.68E-05,4.50E-05,1.65E-05,7.45E-05,6.40E-05,5.00E-05,6.37E-05,7.95E-06,3.81E-05,9.71E-05,2.26E-05,3.13E-05,4.12E-05,2.19E-05,1.57E-05,2.78E-05,8.26E-05,6.54E-05,2.58E-05,5.47E-05,1.95E-05,7.22E-05,1.09E-05,1.75E-05,4.53E-05,3.53E-05,5.89E-05,4.80E-10,3.83E-10,3.06E-10,
4.68E-05,2.29E-05,4.43E-05,5.21E-05,1.75E-05,3.09E-05,2.70E-05,5.15E-05,3.37E-05,3.66E-05,4.39E-05,1.06E-05,3.50E-05,1.23E-05,4.02E-05,4.98E-05,7.28E-05,5.31E-05,3.21E-05,4.12E-05,4.74E-05,2.73E-05,2.87E-05,3.32E-05,2.64E-05,5.13E-05,2.27E-05,5.42E-05,3.21E-05,2.11E-05,4.24E-05,2.82E-09,2.88E-09,2.94E-09,
2.16E-05,1.90E-05,4.39E-05,5.21E-05,1.62E-05,2.53E-05,1.53E-05,3.04E-05,1.70E-05,3.14E-05,3.53E-05,3.03E-06,3.07E-05,2.77E-05,1.40E-05,2.80E-05,7.25E-05,2.53E-05,6.68E-06,4.12E-05,6.58E-05,1.71E-05,3.72E-05,3.04E-05,2.13E-05,2.45E-05,5.75E-06,4.46E-05,2.87E-05,2.06E-05,3.20E-05,6.40E-10,1.13E-09,1.99E-09,
2.23E-05,1.13E-05,3.29E-05,6.23E-05,1.62E-05,2.29E-05,1.71E-05,2.71E-05,1.80E-05,3.46E-05,2.51E-05,7.77E-06,2.27E-05,2.17E-05,2.59E-05,3.79E-05,7.09E-05,2.14E-05,6.68E-06,5.65E-05,4.14E-05,2.56E-05,3.20E-05,2.57E-05,1.77E-05,2.95E-05,1.52E-05,2.72E-05,5.23E-05,3.49E-05,2.49E-05,4.58E-10,5.82E-10,7.40E-10,
5.00E-05,1.02E-05,6.60E-05,4.89E-05,2.69E-05,3.42E-05,1.33E-05,7.34E-05,2.72E-05,2.59E-05,4.10E-05,7.13E-06,5.45E-05,1.48E-05,2.40E-05,2.60E-05,5.89E-05,2.55E-05,3.78E-05,4.47E-05,7.00E-05,6.58E-05,4.35E-05,3.08E-05,1.48E-05,4.32E-05,7.39E-06,1.72E-05,3.01E-05,2.26E-05,4.28E-05,6.50E-10,4.39E-10,2.96E-10,
2.04E-05,2.24E-05,4.34E-05,6.29E-05,3.55E-05,3.23E-05,2.33E-05,3.04E-05,2.67E-05,3.83E-05,3.14E-05,8.92E-06,2.14E-05,1.96E-05,2.15E-05,4.29E-05,4.95E-05,1.79E-05,9.99E-06,5.51E-05,4.52E-05,0.000473225,3.46E-05,0.000159659,1.52E-05,4.27E-05,9.76E-06,3.28E-05,2.06E-05,1.59E-05,4.48E-05,3.20E-10,5.87E-10,1.08E-09,
1.62E-05,2.63E-05,0.000239883,8.11E-05,1.99E-05,3.45E-05,1.82E-05,3.27E-05,1.63E-05,1.36E-05,1.39E-05,4.17E-06,1.96E-05,1.11E-05,2.14E-05,2.61E-05,1.98E-05,2.49E-05,6.96E-06,7.73E-05,4.61E-05,5.07E-05,2.50E-05,2.37E-05,1.12E-05,2.21E-05,2.57E-05,4.29E-05,1.60E-05,1.26E-05,1.87E-05,6.20E-10,1.07E-09,1.84E-09,
1.62E-05,2.63E-05,0.000239883,8.11E-05,1.99E-05,3.45E-05,1.82E-05,3.27E-05,1.63E-05,1.36E-05,1.39E-05,4.17E-06,1.96E-05,1.11E-05,2.14E-05,2.61E-05,1.98E-05,2.49E-05,6.96E-06,1.07E-05,4.61E-05,5.07E-05,2.50E-05,2.37E-05,1.12E-05,2.21E-05,2.57E-05,4.29E-05,1.60E-05,1.26E-05,1.87E-05,6.20E-10,1.07E-09,1.84E-09,
1.91E-05,8.80E-06,1.96E-05,8.11E-05,1.79E-05,1.24E-05,1.70E-05,1.35E-05,1.05E-05,2.82E-05,1.74E-05,5.30E-06,3.95E-05,1.51E-05,1.30E-05,3.46E-05,6.31E-05,1.93E-05,6.20E-06,1.07E-05,4.52E-05,1.85E-05,1.06E-05,5.54E-05,2.00E-05,1.76E-05,5.59E-06,4.90E-05,1.17E-05,1.26E-05,1.47E-05,3.72E-10,9.46E-10,2.40E-09,
2.13E-05,1.05E-05,2.39E-05,2.97E-05,1.63E-05,3.19E-05,1.39E-05,1.81E-05,1.28E-05,2.52E-05,1.47E-05,9.07E-06,2.67E-05,2.83E-05,2.44E-05,2.44E-05,4.23E-05,1.69E-05,1.14E-05,3.15E-05,4.89E-05,0.000149829,4.95E-05,5.60E-05,1.02E-05,2.22E-05,6.65E-06,1.75E-05,1.38E-05,2.92E-05,2.08E-05,2.86E-10,2.96E-10,3.06E-10,
1.88E-05,1.77E-05,2.93E-05,3.83E-05,2.17E-05,3.88E-05,1.97E-05,2.07E-05,2.39E-05,1.88E-05,1.81E-05,1.07E-05,2.51E-05,0.000116088,2.50E-05,4.86E-05,4.39E-05,1.58E-05,1.46E-05,4.39E-05,3.54E-05,3.89E-05,2.02E-05,2.72E-05,2.51E-05,4.62E-05,2.28E-05,2.81E-05,1.37E-05,1.41E-05,2.03E-05,2.50E-10,4.44E-10,7.90E-10,
5.59E-05,1.15E-05,7.15E-05,4.28E-05,3.11E-05,3.65E-05,3.71E-05,5.98E-05,5.38E-05,7.12E-05,6.32E-05,1.12E-05,4.04E-05,3.91E-05,3.82E-05,2.06E-05,4.44E-05,1.66E-05,1.89E-05,3.34E-05,5.23E-05,4.43E-05,5.33E-05,5.09E-05,3.05E-05,6.48E-05,2.20E-05,2.73E-05,3.68E-05,1.52E-05,6.34E-05,2.76E-10,4.53E-10,7.45E-10,
1.95E-05,1.48E-05,3.04E-05,3.48E-05,2.68E-05,6.11E-05,1.86E-05,2.82E-05,3.21E-05,3.33E-05,2.68E-05,1.65E-05,2.27E-05,3.40E-05,2.25E-05,3.95E-05,5.30E-05,3.03E-05,9.72E-06,3.25E-05,0.00022293,4.94E-05,4.01E-06,3.02E-05,1.91E-05,4.43E-05,1.02E-05,3.76E-05,1.94E-05,3.32E-05,2.50E-05,9.18E-10,1.14E-09,1.41E-09,
1.82E-05,2.28E-05,3.23E-05,3.94E-05,2.09E-05,3.19E-05,1.88E-05,2.62E-05,1.60E-05,2.53E-05,2.55E-05,5.66E-06,2.34E-05,2.93E-05,9.22E-06,2.67E-05,5.51E-05,3.21E-05,9.72E-06,3.33E-05,6.86E-05,1.89E-05,1.74E-05,2.53E-05,1.60E-05,1.48E-05,4.06E-06,1.73E-05,1.78E-05,2.10E-05,2.20E-05,1.03E-09,5.55E-10,2.99E-10,
1.26E-05,3.31E-05,2.87E-05,2.95E-05,9.87E-06,2.99E-05,1.20E-05,1.44E-05,1.87E-05,1.84E-05,1.89E-05,5.46E-06,3.72E-05,1.40E-05,1.35E-05,2.39E-05,7.96E-05,3.07E-05,2.61E-05,2.76E-05,0.000100742,1.90E-05,2.26E-05,1.70E-05,1.75E-05,2.82E-05,5.30E-06,4.82E-05,1.99E-05,1.76E-05,1.28E-05,9.42E-10,1.48E-09,2.32E-09,
1.41E-05,8.06E-06,2.35E-05,6.81E-05,2.27E-05,0.000153426,1.73E-05,1.13E-05,1.49E-05,2.23E-05,2.05E-05,1.18E-05,2.55E-05,2.81E-05,2.02E-05,4.65E-05,9.63E-05,4.25E-05,8.96E-06,4.70E-05,6.59E-05,1.85E-05,1.64E-05,2.22E-05,2.14E-05,2.95E-05,5.92E-06,2.04E-05,2.07E-05,1.32E-05,1.29E-05,1.81E-09,8.67E-10,4.16E-10,
1.60E-05,9.48E-06,4.05E-05,3.27E-05,1.48E-05,4.00E-05,2.45E-05,1.53E-05,1.85E-05,2.76E-05,2.46E-05,8.66E-06,6.22E-05,2.15E-05,2.56E-05,3.85E-05,5.99E-05,3.46E-05,9.47E-06,2.97E-05,9.78E-05,2.42E-05,2.33E-05,1.82E-05,2.19E-05,2.46E-05,1.16E-05,2.42E-05,1.80E-05,1.69E-05,1.84E-05,1.20E-09,8.37E-10,5.86E-10,
2.45E-05,9.24E-06,0.000125786,4.90E-05,1.93E-05,9.78E-05,1.34E-05,2.30E-05,2.51E-05,2.97E-05,1.65E-05,6.48E-06,3.28E-05,1.80E-05,1.59E-05,5.11E-05,1.84E-05,1.82E-05,3.22E-05,4.34E-05,4.40E-05,1.82E-05,1.64E-05,2.01E-05,1.84E-05,2.83E-05,1.44E-05,2.47E-05,2.40E-05,1.38E-05,2.39E-05,3.31E-10,4.50E-10,6.10E-10,
1.65E-05,9.52E-06,2.99E-05,2.86E-05,1.93E-05,2.35E-05,9.96E-06,1.55E-05,1.18E-05,6.99E-05,2.45E-05,3.87E-06,7.62E-05,1.79E-05,6.87E-06,3.49E-05,4.38E-05,1.44E-05,1.02E-05,3.13E-05,4.06E-05,1.21E-05,2.18E-05,2.11E-05,8.33E-06,1.95E-05,5.94E-06,5.13E-05,1.38E-05,2.92E-05,1.36E-05,2.07E-10,7.39E-10,2.63E-09,
9.09E-06,1.02E-05,2.11E-05,2.86E-05,6.32E-06,5.86E-05,1.18E-05,1.25E-05,1.99E-05,2.62E-05,1.30E-05,4.37E-06,5.19E-05,6.95E-05,1.48E-05,3.84E-05,6.34E-05,2.43E-05,1.20E-05,3.13E-05,2.71E-05,2.44E-05,1.90E-05,1.71E-05,1.55E-05,2.46E-05,1.20E-05,3.93E-05,1.36E-05,1.20E-05,1.27E-05,5.90E-10,9.55E-10,1.54E-09,
2.33E-05,1.43E-05,2.78E-05,3.03E-05,1.64E-05,8.45E-05,1.94E-05,2.40E-05,2.16E-05,4.20E-05,2.70E-05,7.37E-06,8.14E-05,8.04E-05,2.17E-05,2.62E-05,0.000114506,1.76E-05,2.09E-05,2.77E-05,3.96E-05,1.91E-05,2.04E-05,5.83E-05,1.89E-05,4.56E-05,1.40E-05,3.40E-05,2.09E-05,1.61E-05,2.74E-05,3.10E-10,5.98E-10,1.16E-09,
2.33E-05,2.94E-05,3.34E-05,4.03E-05,9.13E-06,2.83E-05,1.18E-05,2.11E-05,2.38E-05,2.51E-05,2.46E-05,4.19E-06,9.91E-05,9.27E-06,1.56E-05,7.69E-05,5.98E-05,1.00E-05,5.64E-05,3.70E-05,4.17E-05,2.14E-05,2.54E-05,3.18E-05,1.10E-05,3.45E-05,8.43E-06,2.51E-05,1.73E-05,2.31E-05,2.08E-05,1.00E-10,2.51E-10,6.30E-10,
3.93E-05,1.57E-05,4.65E-05,3.92E-05,1.11E-05,2.83E-05,8.64E-06,4.66E-05,1.95E-05,6.35E-05,1.78E-05,3.86E-06,2.86E-05,3.16E-05,8.85E-06,5.52E-05,2.65E-05,9.95E-06,2.93E-05,4.02E-05,4.48E-05,5.11E-05,2.58E-05,4.20E-05,8.32E-06,4.08E-05,9.36E-06,3.20E-05,2.50E-05,1.95E-05,2.79E-05,9.90E-11,3.18E-10,1.02E-09,
2.20E-05,7.10E-06,4.78E-05,2.59E-05,1.43E-05,3.21E-05,6.74E-06,2.42E-05,2.32E-05,2.22E-05,3.80E-05,3.43E-06,4.91E-05,2.70E-05,1.25E-05,2.07E-05,5.65E-05,9.95E-06,2.01E-05,2.30E-05,4.64E-05,2.29E-05,2.58E-05,3.91E-05,7.94E-06,2.83E-05,5.44E-06,3.16E-05,3.32E-05,2.20E-05,2.45E-05,9.90E-11,3.14E-10,9.99E-10,
1.64E-05,1.11E-05,1.80E-05,2.44E-05,1.35E-05,3.33E-05,1.55E-05,1.71E-05,2.16E-05,4.34E-05,4.91E-05,1.01E-05,3.52E-05,3.63E-05,1.54E-05,6.03E-05,0.000183406,2.80E-05,2.37E-05,1.93E-05,4.63E-05,1.90E-05,2.22E-05,2.83E-05,1.51E-05,2.69E-05,7.44E-06,1.45E-05,3.27E-05,2.46E-05,2.11E-05,7.84E-10,4.06E-10,2.10E-10,
2.55E-05,4.14E-05,5.38E-05,1.56E-05,1.46E-05,3.33E-05,2.43E-05,6.05E-05,2.78E-05,6.48E-05,2.94E-05,6.31E-06,2.19E-05,2.40E-05,4.74E-05,3.98E-05,0.000101584,2.48E-05,3.86E-05,1.27E-05,0.000116231,2.74E-05,2.06E-05,5.80E-05,4.88E-05,3.29E-05,2.84E-05,1.71E-05,2.12E-05,2.14E-05,3.99E-05,6.15E-10,4.24E-10,2.92E-10,
5.27E-05,5.67E-05,5.79E-05,2.30E-05,2.02E-05,3.24E-05,1.29E-05,8.09E-05,3.39E-05,6.58E-05,3.25E-05,9.71E-06,5.05E-05,2.15E-05,2.87E-05,6.41E-05,8.76E-05,4.22E-05,9.00E-05,2.11E-05,0.000112755,4.11E-05,5.19E-05,3.67E-05,2.53E-05,3.81E-05,9.07E-06,2.69E-05,2.82E-05,2.84E-05,4.87E-05,1.78E-09,1.14E-09,7.24E-10,
