"rv.AEX","rv.AORD","rv.BVSP","rv.DJI","rv.GDAXI","rv.GSPTSE","rv.IXIC","rv.RUT","rv.SPX","rv.SSMI","rv.STOXX50E"
3.14e-05,3.53e-05,6.07e-05,3.28e-05,3.44e-05,1.19e-05,4.3e-05,3.23e-05,3.09433e-05,2.23e-05,3.18e-05
1.9e-05,1.44e-05,3.7e-05,3.28e-05,1.91e-05,1.19e-05,4.3e-05,3.23e-05,3.09433e-05,1.6e-05,2.18e-05
6.34e-05,1.73e-05,0.00012555,5.81e-05,6.71e-05,2.08e-05,7.82e-05,9.7e-05,2.17415e-05,5.1e-05,7.92e-05
2.08e-05,4.99e-05,3.7e-05,9.87e-06,2.21e-05,1.63e-05,1.56e-05,1.62e-05,1.21102e-05,2.4e-05,6.08e-05
2.91e-05,3.08e-05,4.37e-05,2.48e-05,2.93e-05,1.19e-05,2.4e-05,5.85e-05,2.60333e-05,2.61e-05,6.97e-05
2.48e-05,1.57e-05,3.71e-05,1.75e-05,2.58e-05,7.16e-06,2.23e-05,2.08e-05,6.37165e-06,1.72e-05,2.28e-05
1.05e-05,8.04e-06,6.41e-05,1.38e-05,1.43e-05,7.59e-06,2.89e-05,4.15e-05,1.63175e-05,1.29e-05,1.16e-05
2.89e-05,1.1e-05,8.23e-05,3.46e-05,3.38e-05,1.07e-05,5.96e-05,5.16e-05,2.05044e-05,5.04e-05,3.44e-05
1.64e-05,1.16e-05,3.15e-05,1.64e-05,2.46e-05,6.46e-06,2.18e-05,5.85e-05,2.65142e-05,2.07e-05,2.07e-05
0.000103875,2.21e-05,7.44e-05,3.69e-05,0.000105718,1.74e-05,5.35e-05,0.000100497,1.56299e-05,7.41e-05,0.000153055
1.88e-05,1.06e-05,2.49e-05,1.33e-05,1.47e-05,8.21e-06,2.67e-05,4.83e-05,8.28883e-06,2.28e-05,2e-05
2.63e-05,2.26e-05,5.83e-05,1.74e-05,2.23e-05,1.39e-05,2.52e-05,4.15e-05,5.33106e-06,2.84e-05,1.74e-05
1.85e-05,1e-05,3.27e-05,1.07e-05,3.69e-05,7.46e-06,1e-05,2.39e-05,6.2418e-06,2.89e-05,2.4e-05
1.52e-05,9.01e-06,4.4e-05,3.39e-05,1.15e-05,1.44e-05,4.19e-05,3.39e-05,3.44666e-05,2.09e-05,1.31e-05
1.39e-05,2.69e-05,3.9e-05,2.04e-05,2.84e-05,8.85e-06,2.59e-05,2.1e-05,1.40911e-05,3.04e-05,1.77e-05
1.91e-05,3e-05,8.08e-05,4.91e-05,2.09e-05,1.77e-05,8.52e-05,6.05e-05,4.02326e-05,2.46e-05,3.16e-05
2.05e-05,1.95e-05,2.68e-05,1.29e-05,3.93e-05,1.02e-05,2e-05,2.72e-05,1.15444e-05,3.05e-05,9.27e-06
1.34e-05,6.05e-06,4.59e-05,7.48e-05,1.3e-05,2.13e-05,0.000120522,7.58e-05,0.000102363,2.05e-05,1.28e-05
3.86e-05,3.4e-05,3.85e-05,2.15e-05,3.66e-05,1.23e-05,4.82e-05,4.23e-05,5.58064e-05,4.13e-05,5.19e-05
2.79e-05,1.26e-05,4.41e-05,3.33e-05,2.4e-05,8.79e-06,5.46e-05,2.89e-05,2.2632e-05,2.47e-05,2.58e-05
2.18e-05,1.93e-05,5.17e-05,6.03e-05,1.64e-05,1.43e-05,0.000123117,6.98e-05,7.15486e-05,1.62e-05,2.12e-05
2.61e-05,8.73e-06,2.07e-05,6.03e-05,2.14e-05,1.1e-05,2.25e-05,1.84e-05,1.14708e-05,2.22e-05,2.36e-05
9.19e-05,1.35e-05,4.35e-05,5.69e-05,6.18e-05,2.85e-05,6.43e-05,7.66e-05,0.000118839,5.92e-05,5.99e-05
6.19e-05,5.47e-05,5.28e-05,6.61e-05,5.61e-05,2.12e-05,6.21e-05,6.65e-05,0.00010659,6.18e-05,7.13e-05
0.000145234,0.000205959,0.000193662,0.000134305,5.61e-05,4.66e-05,0.000136497,0.000141498,0.000132133,0.000108861,6.76e-05
5.21e-05,2.11e-05,5.15e-05,2.58e-05,6.79e-05,1.04e-05,2.76e-05,2.72e-05,5.17796e-05,5.31e-05,6.16e-05
